uf,ano,mes,chuva_mm,temp_c,media_chuva_mm,media_temp_c,anomalia_chuva,anomalia_temp,ipca_acum_ano,ipca_var_mensal
BA,2020,1,12190.0,26.082790723390588,7462.719999999999,25.982088500592,4727.280000000001,0.10070222279858854,0.94,0.94
BA,2020,2,4710.4,26.433691952396025,4686.639999999999,26.185594315874027,23.76000000000022,0.24809763652199734,1.7,0.75
BA,2020,3,14325.6,25.476740070852195,5819.84,26.163660740471773,8505.76,-0.6869206696195782,2.29,0.59
BA,2020,4,11212.4,24.938679966962635,7268.08,25.60796354578259,3944.3199999999997,-0.6692835788199538,4.69,2.34
BA,2020,5,6690.0,23.672061839627474,3942.4800000000005,24.223799772374527,2747.5199999999995,-0.5517379327470522,5.92,1.18
BA,2020,6,5374.8,22.65333027277831,3226.0,23.158492438287233,2148.8,-0.5051621655089242,6.66,0.7
BA,2020,7,4496.0,22.065835810242714,2762.2400000000002,22.70659779705152,1733.7599999999998,-0.6407619868088048,8.09,1.34
BA,2020,8,3852.4,22.540853706061974,2379.2,23.343745564000084,1473.2000000000003,-0.8028918579381106,7.88,-0.19
BA,2020,9,1734.4,24.269619324652208,1537.44,24.882797472059092,196.96000000000004,-0.6131781474068845,10.01,1.97
BA,2020,10,3770.4,26.478658192313137,2772.32,26.564816222205234,998.0799999999999,-0.08615802989209698,11.41,1.27
BA,2020,11,7529.2,25.003444706761126,8040.08,25.64741481797629,-510.8800000000001,-0.6439701112151646,13.76,2.11
BA,2020,12,998.4,26.069906166198397,6599.68,26.11164018115565,-5601.280000000001,-0.04173401495725315,14.04,0.25
BA,2021,1,2992.8,26.28078624810706,7462.719999999999,25.982088500592,-4469.919999999999,0.2986977475150603,1.08,1.08
BA,2021,2,3329.6,26.095938343636828,4686.639999999999,26.185594315874027,-1357.0399999999995,-0.08965597223719968,1.7,0.62
BA,2021,3,911.2,26.684622835646874,5819.84,26.163660740471773,-4908.64,0.5209620951751006,2.3,0.59
BA,2021,4,4226.8,25.813375097826793,7268.08,25.60796354578259,-3041.2799999999997,0.20541155204420392,2.83,0.53
BA,2021,5,1361.2,24.27563710631421,3942.4800000000005,24.223799772374527,-2581.2800000000007,0.051837333939683816,3.16,0.32
BA,2021,6,1554.4,23.944840827020453,3226.0,23.158492438287233,-1671.6,0.7863483887332201,4.22,1.02
BA,2021,7,2242.8,23.357484696855153,2762.2400000000002,22.70659779705152,-519.44,0.6508868998036341,4.86,0.62
BA,2021,8,1305.6,23.442552577642214,2379.2,23.343745564000084,-1073.6,0.09880701364212996,5.94,1.02
BA,2021,9,456.40000000000003,25.81805648631361,1537.44,24.882797472059092,-1081.04,0.9352590142545161,6.5,0.54
BA,2021,10,3721.6,26.59074830232233,2772.32,26.564816222205234,949.2799999999997,0.025932080117094358,7.6,1.03
BA,2021,11,10185.2,25.19481199930396,8040.08,25.64741481797629,2145.120000000001,-0.4526028186723323,8.53,0.87
BA,2021,12,13898.4,24.793858319548924,6599.68,26.11164018115565,7298.719999999999,-1.3177818616067256,10.11,1.45
BA,2022,1,4373.6,25.015617577795133,7462.719999999999,25.982088500592,-3089.119999999999,-0.9664709227968658,1.14,1.14
BA,2022,2,3163.2,25.85379249568434,4686.639999999999,26.185594315874027,-1523.4399999999996,-0.33180182018968907,2.69,1.54
BA,2022,3,5020.0,25.457544264528043,5819.84,26.163660740471773,-799.8400000000001,-0.7061164759437304,4.64,1.89
BA,2022,4,5019.2,25.44093965633503,7268.08,25.60796354578259,-2248.88,-0.16702388944755953,6.96,2.22
BA,2022,5,2487.6,24.15279062688498,3942.4800000000005,24.223799772374527,-1454.8800000000006,-0.07100914548954762,7.97,0.94
BA,2022,6,1274.0,22.857907313504,3226.0,23.158492438287233,-1952.0,-0.3005851247832325,8.39,0.39
BA,2022,7,2216.8,22.58705641254157,2762.2400000000002,22.70659779705152,-545.44,-0.11954138450994733,9.14,0.7
BA,2022,8,1736.8,23.223336745962378,2379.2,23.343745564000084,-642.3999999999999,-0.12040881803770631,10.12,0.9
BA,2022,9,2333.6,24.499928976431235,1537.44,24.882797472059092,796.1599999999999,-0.3828684956278572,10.19,0.06
BA,2022,10,2968.8,26.181295418631674,2772.32,26.564816222205234,196.48000000000002,-0.38352080357356044,10.4,0.19
BA,2022,11,13849.2,24.6125240736871,8040.08,25.64741481797629,5809.120000000001,-1.0348907442891893,10.94,0.48
BA,2022,12,12320.0,24.951389657061966,6599.68,26.11164018115565,5720.32,-1.1602505240936836,11.87,0.84
BA,2023,1,6394.8,25.598788458566666,7462.719999999999,25.982088500592,-1067.9199999999992,-0.38330004202533274,0.87,0.87
BA,2023,2,2646.0,26.461220152308368,4686.639999999999,26.185594315874027,-2040.6399999999994,0.27562583643434024,0.66,-0.21
BA,2023,3,5409.2,25.93201019286673,5819.84,26.163660740471773,-410.6400000000003,-0.23165054760504233,0.82,0.16
BA,2023,4,5794.400000000001,25.81386623680269,7268.08,25.60796354578259,-1473.6799999999994,0.20590269102009984,1.01,0.18
BA,2023,5,4431.6,24.245558649367027,3942.4800000000005,24.223799772374527,489.1199999999999,0.02175887699250012,2.02,1.0
BA,2023,6,2691.2,22.92724741817406,3226.0,23.158492438287233,-534.8000000000002,-0.2312450201131746,1.06,-0.94
BA,2023,7,2578.4,22.784424160159286,2762.2400000000002,22.70659779705152,-183.84000000000015,0.0778263631077678,0.36,-0.7
BA,2023,8,2018.8,24.04265648340843,2379.2,23.343745564000084,-360.39999999999986,0.6989109194083447,-0.32,-0.67
BA,2023,9,2019.6000000000001,25.25066694859749,1537.44,24.882797472059092,482.1600000000001,0.36786947653839874,-1.47,-1.16
BA,2023,10,1330.8,26.904649908976488,2772.32,26.564816222205234,-1441.5200000000002,0.3398336867712537,-1.37,0.11
BA,2023,11,2246.0,27.35586473473624,8040.08,25.64741481797629,-5794.08,1.7084499167599496,-1.49,-0.12
BA,2023,12,4472.4,27.52933650327366,6599.68,26.11164018115565,-2127.2800000000007,1.4176963221180117,-0.39,1.11
BA,2024,1,11362.4,26.932459495100545,7462.719999999999,25.982088500592,3899.6800000000003,0.9503709945085461,1.38,1.38
BA,2024,2,9584.0,26.083328635344564,4686.639999999999,26.185594315874027,4897.360000000001,-0.10226568052946305,2.5,1.11
BA,2024,3,3433.2,27.267386338465027,5819.84,26.163660740471773,-2386.6400000000003,1.1037255979932539,2.82,0.31
BA,2024,4,10087.6,26.0329567709858,7268.08,25.60796354578259,2819.5200000000004,0.4249932252032096,3.92,1.07
BA,2024,5,4742.0,24.77295063967895,3942.4800000000005,24.223799772374527,799.5199999999995,0.549150867304423,4.53,0.59
