uf,ano,mes,chuva_mm,temp_c,media_chuva_mm,media_temp_c,anomalia_chuva,anomalia_temp
AL,2022,9,339.6,23.889316126789506,282.08000000000004,24.779068764014337,57.51999999999998,-0.8897526372248308
AL,2022,10,234.4,25.535659132695535,91.92,26.55621739294964,142.48000000000002,-1.0205582602541057
AL,2022,11,1046.0,26.25168982756374,306.0,27.45770044910119,740.0,-1.2060106215374482
AL,2022,12,414.0,26.8369321326382,223.68,27.570731936798712,190.32,-0.7337998041605118
AL,2023,1,252.8,27.249357451177275,270.56,27.70155928503968,-17.75999999999999,-0.45220183386240365
AL,2023,2,164.0,27.23184894814952,228.4,28.02761310415002,-64.4,-0.7957641560005015
AL,2023,3,457.2,27.203727488791152,564.88,27.64209158580821,-107.68,-0.4383640970170575
AL,2023,4,512.4,26.93685736746797,649.04,27.043101032022726,-136.64,-0.10624366455475709
AL,2023,5,920.8,26.08875855555154,1047.92,25.539435516497484,-127.12000000000012,0.5493230390540553
AL,2023,6,915.2,24.82191072553506,1229.44,24.335492420426085,-314.24,0.4864183051089732
AL,2023,7,598.0,24.208122001262627,959.28,23.79703713669782,-361.28,0.4110848645648062
AL,2023,8,321.2,24.672813907143947,495.12,24.01273250711331,-173.92000000000002,0.6600814000306379
AL,2023,9,504.0,24.593739648033125,282.08000000000004,24.779068764014337,221.91999999999996,-0.1853291159812116
AL,2023,10,101.6,25.977181511875806,91.92,26.55621739294964,9.679999999999993,-0.5790358810738354
AL,2023,11,52.400000000000006,27.489478377404865,306.0,27.45770044910119,-253.6,0.03177792830367565
AL,2023,12,206.4,27.463559059640477,223.68,27.570731936798712,-17.28,-0.10717287715823431
AL,2024,1,437.2,28.693772594017847,270.56,27.70155928503968,166.64,0.9922133089781688
AL,2024,2,442.8,27.958721439613484,228.4,28.02761310415002,214.4,-0.06889166453653672
AL,2024,3,376.8,28.586576500037733,564.88,27.64209158580821,-188.07999999999998,0.9444849142295233
AL,2024,4,1156.8,27.48120181405896,649.04,27.043101032022726,507.76,0.4381007820362335
AL,2024,5,1496.8,25.688099639957986,1047.92,25.539435516497484,448.8799999999999,0.1486641234605024
AL,2024,6,1364.4,24.211509469136796,1229.44,24.335492420426085,134.96000000000004,-0.12398295128928893
AL,2024,7,754.0,23.557081785559156,959.28,23.79703713669782,-205.27999999999997,-0.23995535113866495
AL,2024,8,259.2,23.911593322375715,495.12,24.01273250711331,-235.92000000000002,-0.10113918473759398
AL,2024,9,159.6,24.72193579894599,282.08000000000004,24.779068764014337,-122.48000000000005,-0.057132965068348085
AL,2024,10,49.2,26.81388425013679,91.92,26.55621739294964,-42.72,0.2576668571871501
AL,2024,11,210.8,28.134283807300303,306.0,27.45770044910119,-95.19999999999999,0.6765833581991139
AL,2024,12,74.8,28.551468914247668,223.68,27.570731936798712,-148.88,0.9807369774489558
AM,2020,1,4118.8,27.28920513427879,5073.039999999999,26.549837199707174,-954.2399999999989,0.739367934571618
AM,2020,2,2977.2,27.20198658042326,4936.0,26.67260357693675,-1958.8000000000002,0.5293830034865081
AM,2020,3,4459.6,27.35559980287665,5174.4,26.649201719701388,-714.7999999999993,0.7063980831752623
AM,2020,4,4645.6,26.65850539140679,5189.04,26.756652144723695,-543.4399999999996,-0.09814675331690381
AM,2020,5,4593.6,26.533535019543372,4231.92,26.87015718101255,361.6800000000003,-0.33662216146917956
AM,2020,6,2459.2,27.027501311730887,2530.4,26.857362662532502,-71.20000000000027,0.1701386491983854
