uf,ano,cultura,chuva_mm_safra,temp_c_safra,anomalia_chuva_safra,anomalia_temp_safra,qtd_t,area_plantada_ha,area_colhida_ha,rendimento_kg_ha,ipca_var_mensal,ipca_acum_ano
PA,2021,Café (em grão) Total,63496.0,26.703824692778316,-684.6200000000002,-0.15608973967875026,189.0,199.0,199.0,950.0,0.19,3.87
PA,2022,Café (em grão) Total,55293.20000000001,26.497477745629123,-1368.1866666666672,-0.3624366868279501,158.0,187.0,187.0,845.0,0.61,11.05
PA,2023,Café (em grão) Total,61088.80000000001,26.75665503443965,-885.2200000000004,-0.10325939801741975,179.0,203.0,203.0,882.0,0.63,-0.14
PA,2024,Café (em grão) Total,82515.59999999999,27.379471103048427,900.3466666666664,0.519556670591359,97.0,137.0,137.0,708.0,1.77,7.93
PR,2020,Café (em grão) Total,34429.2,19.859030182652337,539.1600000000002,-0.142128245403363,60347.0,36864.0,36864.0,1637.0,1.63,13.04
PR,2021,Café (em grão) Total,31569.6,20.149559719991093,-1770.753333333333,-0.45698195791412743,53606.0,32877.0,32713.0,1639.0,0.28,8.95
PR,2022,Café (em grão) Total,32953.2,20.742986397702996,-1655.4533333333331,0.13644471979777398,44867.0,30773.0,30713.0,1461.0,0.47,11.44
PR,2023,Café (em grão) Total,67694.4,19.922088536560107,1239.6466666666663,-0.684453141345112,41840.0,26573.0,26573.0,1575.0,0.92,0.97
PR,2024,Café (em grão) Total,67693.6,21.51502655959636,1239.58,0.9084848816911419,40206.0,25959.0,25959.0,1549.0,0.56,7.21
RS,2020,Café (em grão) Total,72650.8,18.250893512559472,-1408.47,0.031505493225985726,,,,,2.6,14.38
RS,2021,Café (em grão) Total,96461.20000000001,18.304045835324004,-2784.9866666666676,-0.36024452367716114,,,,,0.42,6.63
RS,2022,Café (em grão) Total,112333.2,18.489373955973026,-1462.3199999999997,-0.17491640302814235,,,,,-0.46,12.61
RS,2023,Café (em grão) Total,100231.6,18.85754203509405,-2470.786666666667,0.1932516760928825,,,,,0.58,-0.05
RS,2024,Café (em grão) Total,220575.99999999997,18.832591354288326,7557.913333333335,0.16830099528715806,,,,,0.62,3.83
SP,2020,Café (em grão) Total,55399.99999999999,20.108041347189126,1151.0699999999995,-1.2586728562596794,344694.0,200368.0,200349.0,1720.0,1.27,12.98
SP,2021,Café (em grão) Total,42059.6,22.29974987626309,-2785.3799999999997,0.29263807804709135,318478.0,199810.0,199663.0,1595.0,0.84,8.05
SP,2022,Café (em grão) Total,50830.4,22.38755547903652,-2054.48,0.3804436808205252,293377.0,199382.0,197414.0,1486.0,0.77,11.72
SP,2023,Café (em grão) Total,113277.6,21.106333330082972,3149.4533333333325,-0.9007784681330259,307353.0,191985.0,190672.0,1612.0,0.98,2.41
SP,2024,Café (em grão) Total,82462.79999999999,22.93944335829899,581.5533333333334,0.9323315600829964,335310.0,190405.0,190255.0,1762.0,1.37,8.83
TO,2020,Café (em grão) Total,40749.6,25.781745086314167,1915.2400000000002,-0.4907685526788752,,,,,1.74,14.09
TO,2021,Café (em grão) Total,26106.4,27.18592156086949,-1099.12,0.4468291378856047,,,,,0.84,7.94
TO,2022,Café (em grão) Total,30652.399999999998,26.96576186462759,-720.2866666666665,0.22666944164369665,,,,,0.66,11.64
TO,2023,Café (em grão) Total,42103.99999999999,26.36848585232026,234.01333333333335,-0.37060657066364033,,,,,1.11,1.03
TO,2024,Café (em grão) Total,42073.200000000004,26.81509213799934,231.44666666666686,0.07599971501544012,10.0,4.0,4.0,2500.0,1.18,7.69
BA,2020,Milho (em grão),58999.200000000004,24.474732948035705,3404.457142857143,-0.38643806774053246,2646751.0,594905.0,577377.0,4584.0,0.25,14.04
BA,2021,Milho (em grão),30651.200000000004,25.297664867757476,-2133.301818181818,0.09449524922748219,2450153.0,617726.0,582196.0,4208.0,1.45,10.11
BA,2022,Milho (em grão),51816.0,24.88755667770563,-209.22909090909087,-0.3156129408243654,2739012.0,667268.0,643491.0,4256.0,0.84,11.87
BA,2023,Milho (em grão),61417.2,24.909841217641528,663.6072727272729,-0.29332840088846657,3097053.0,694618.0,651378.0,4755.0,1.11,-0.39
BA,2024,Milho (em grão),56790.799999999996,25.843356749143357,243.02545454545455,0.6401871306133671,2631104.0,649224.0,593249.0,4435.0,1.46,5.62
ES,2020,Milho (em grão),17889.999999999996,23.501944973543665,536.3314285714285,-0.07937415021092623,38883.0,12822.0,12822.0,3033.0,0.9,18.35
ES,2021,Milho (em grão),20980.799999999996,23.747825280403287,-518.5454545454545,0.055667631355446966,41670.0,13787.0,13787.0,3022.0,0.34,8.09
ES,2022,Milho (em grão),24860.4,23.31730315035451,-165.8545454545454,-0.3748544986933298,52537.0,15624.0,15624.0,3363.0,0.77,12.15
ES,2023,Milho (em grão),34441.2,23.040804421379832,705.1272727272727,-0.65135322766801,67475.0,18305.0,18305.0,3686.0,1.16,0.04
ES,2024,Milho (em grão),21115.600000000002,24.63874713056382,-506.29090909090905,0.9465894815159769,58800.0,16684.0,16664.0,3529.0,1.63,7.09
GO,2020,Milho (em grão),43510.8,23.504328330129265,1585.4171428571426,-0.010431222833646408,11838775.0,1733660.0,1731660.0,6837.0,1.74,14.09
GO,2021,Milho (em grão),44911.2,24.6548515387793,-1046.0727272727274,0.2841040063283018,10750433.0,1882705.0,1860245.0,5779.0,0.84,7.94
GO,2022,Milho (em grão),68608.0,24.064481424963503,1108.181818181818,-0.3062661074874979,10709893.0,1942588.0,1907212.0,5615.0,0.66,11.64
GO,2023,Milho (em grão),51891.2,23.753179495511286,-411.5272727272726,-0.6175680369397178,14460846.0,2181640.0,2181640.0,6628.0,1.11,1.03
GO,2024,Milho (em grão),46915.6,25.071008222467864,-863.8545454545455,0.7002606900168596,13026753.0,2159485.0,2158782.0,6034.0,1.18,7.69
